loss,mae,mse,val_loss,val_mae,val_mse,learning_rate
0.055178262293338776,0.12485364824533463,0.055178262293338776,0.00014825817197561264,0.010720336809754372,0.00014825817197561264,0.0010000000474974513
0.0462455153465271,0.11970105022192001,0.0462455153465271,0.000542785448487848,0.021096346899867058,0.000542785448487848,0.0010000000474974513
0.04311906918883324,0.11429772526025772,0.04311906918883324,0.0007627606391906738,0.026867393404245377,0.0007627606391906738,0.0010000000474974513
0.04299238696694374,0.11314486712217331,0.04299238696694374,0.00040088329114951193,0.019252430647611618,0.00040088329114951193,0.0010000000474974513
0.042542606592178345,0.11241896450519562,0.042542606592178345,1.8919079593615606e-05,0.003329435596242547,1.8919079593615606e-05,0.0010000000474974513
0.04244574159383774,0.11243501305580139,0.04244574159383774,0.00023756023438181728,0.014279658906161785,0.00023756023438181728,0.0010000000474974513
0.042057815939188004,0.11191505938768387,0.042057815939188004,0.00013542550732381642,0.010425514541566372,0.00013542550732381642,0.0010000000474974513
0.042867306619882584,0.11328642070293427,0.042867306619882584,0.000270144926616922,0.016063036397099495,0.000270144926616922,0.0010000000474974513
0.042704988270998,0.11308448761701584,0.042704988270998,0.0003460977750364691,0.01788729429244995,0.0003460977750364691,0.0010000000474974513
0.0422087237238884,0.11261492222547531,0.0422087237238884,0.0002034201315836981,0.013738267123699188,0.0002034201315836981,0.0010000000474974513
0.042606666684150696,0.11312134563922882,0.042606666684150696,0.00021615790319629014,0.014363879337906837,0.00021615790319629014,0.0010000000474974513
0.04269546642899513,0.11320357769727707,0.04269546642899513,0.0005308331456035376,0.022333629429340363,0.0005308331456035376,0.0010000000474974513
0.04218233749270439,0.11315031349658966,0.04218233749270439,1.45044887176482e-05,0.0029764457140117884,1.45044887176482e-05,0.0005000000237487257
0.04216592013835907,0.11288721114397049,0.04216592013835907,0.0004577940271701664,0.021163493394851685,0.0004577940271701664,0.0005000000237487257
0.04188772663474083,0.11283157020807266,0.04188772663474083,3.590657070162706e-05,0.0051564485765993595,3.590657070162706e-05,0.0005000000237487257
0.0420120470225811,0.11259625107049942,0.0420120470225811,3.3306016121059656e-05,0.005203290842473507,3.3306016121059656e-05,0.0005000000237487257
0.04154311493039131,0.1120612621307373,0.04154311493039131,0.000272199249593541,0.016349878162145615,0.000272199249593541,0.0005000000237487257
0.04210621118545532,0.11273274570703506,0.04210621118545532,0.0001873354340204969,0.013165467418730259,0.0001873354340204969,0.0005000000237487257
0.042033739387989044,0.11310084909200668,0.042033739387989044,2.0719893655041233e-05,0.0035473175812512636,2.0719893655041233e-05,0.0005000000237487257
0.04203946888446808,0.11319345235824585,0.04203946888446808,0.0002227351360488683,0.01438183058053255,0.0002227351360488683,0.0002500000118743628
0.04156440868973732,0.11236245930194855,0.04156440868973732,4.777912545250729e-05,0.00661812536418438,4.777912545250729e-05,0.0002500000118743628
0.04180489853024483,0.11261498928070068,0.04180489853024483,0.00013530133583117276,0.011190399527549744,0.00013530133583117276,0.0002500000118743628
